APP Features 1,Review 1,App Features 2,Review 2,Fiaz,Naveen,target_label,e12,e21,c12,c21,nli_score,lex_score,lex_jaccard,lex_cosine,contradiction,rule_flag,final_score,pred,match
take photo,Able to take r add to photo love it!,take pictures,"With add-ons like Skitch, I can take pictures of things that inspire my art and make notations right in the image, then Evernote once again makes sure all my devices have a copy.",1,1,1,0.9551264047622681,0.9853829145431519,0.00781380943953991,0.010570929385721684,0.9906357863592685,0.8037168979644775,0.1923076923076923,0.8037168979644775,0.010570929385721684,0.0,0.897176342161873,1,1
ui,"The easy to use UI and cross platform syncing and integration is what puts this app above the rest.;Good but previous versions UI was better ...;The slimmed down UI makes it very easy to bid, buy and get notified!",user interface,This app fulfills every promise it makes and has a convenient user interface that is similar to the actual Netflix website.;its easy to use and has a good user interface.,1,1,1,0.9954710006713867,0.9280610084533691,0.0021694274619221687,0.0019335083197802305,0.9978731836583746,0.820190042257309,0.11956521739130435,0.820190042257309,0.0021694274619221687,0.0,0.9090316129578417,1,1
takes you to a web page,"When something is posted that has a link and you click on it, it takes you to a Web page, but there's no way to get back to Facebook without hitting home and going back to the app.",webpages,"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want.",0,0,0,0.9113132953643799,0.0997551828622818,0.02737245336174965,0.18806447088718414,0.6587143868603326,0.6860036980360746,0.04716981132075472,0.6860036980360746,0.18806447088718414,0.0,0.6723590424482035,0,1
customer ratings,What the best part is the customer ratings that a video store never was able to provide as well as the Netflix option to rate movies and then have recommended films and shows for the future entertainment.,rate movies,What the best part is the customer ratings that a video store never was able to provide as well as the Netflix option to rate movies and then have recommended films and shows for the future entertainment.,0,0,0,0.9891877770423889,0.9893823862075806,0.004919904749840498,0.004722602665424347,0.9951501531031762,0.8589654415845871,0.5,0.8589654415845871,0.004919904749840498,1.0,0.6489404581407171,0,1
pay on the spot,"Gets the simple jobs done, able to select and pay on the spot pretty happy with this app what else can i say?",pay for ur item,Online if your not a member you can just pay for ur itemAnd then who ever ships to u like your a member the app doesn't give you a choice it makes u sign inSo I was going to purchase something off my kindle but instead had to go find it on eBay on the computer because I wasn't a member,0,0,0,0.9758806824684143,0.5912484526634216,0.004579311702400446,0.3988039493560791,0.7962592291498289,0.7210875302553177,0.12698412698412698,0.7210875302553177,0.3988039493560791,0.0,0.7586733797025733,0,1
modify your notes,The premium edition allows your friends to access and modify your notes and so offers group collaboration capabilities.Another area Evernote excels in is the sheer number and diversity of its companion apps.,import notes,"Works amazingly, along with Skitch, but I wish there was a way to import notes into a type of presentation app.",0,0,0,0.3171374201774597,0.8737965822219849,0.4860779047012329,0.08176907896995544,0.6546317353905748,0.7776549160480499,0.15760869565217392,0.7776549160480499,0.4860779047012329,0.0,0.7161433257193124,0,1
smokey face icon,the app is responsive but one problem.when sending a message to someone the plus nd smokey face Icon for sending images is their but when I press it no options for pics or stickers to send comes up.not a major problem to me although to some people probably yes.fixxxxx asap,stickers,plz add stickers also like hike.;You have to pay for stickers really;Please Improve Stickers,0,0,0,0.9902827739715576,0.01867937482893467,0.006940252613276243,0.1690295934677124,0.5462764158118152,0.6001781038939953,0.02830188679245283,0.6001781038939953,0.1690295934677124,0.0,0.5732272598529052,0,1
plus icon,the app is responsive but one problem.when sending a message to someone the plus nd smokey face Icon for sending images is their but when I press it no options for pics or stickers to send comes up.not a major problem to me although to some people probably yes.fixxxxx asap,smokey face icon,the app is responsive but one problem.when sending a message to someone the plus nd smokey face Icon for sending images is their but when I press it no options for pics or stickers to send comes up.not a major problem to me although to some people probably yes.fixxxxx asap,0,0,0,0.995541512966156,0.9954065084457397,0.002977816155180335,0.003083648858591914,0.9969647182241548,0.8674193322658539,0.625,0.8674193322658539,0.003083648858591914,1.0,0.652534417671503,0,1
older movies,To many older movies all the time.,old movies,Same old movies.,1,1,1,0.5853773355484009,0.10481880605220795,0.04622461274266243,0.020595010370016098,0.8812985872655502,0.9209263920783997,0.2222222222222222,0.9209263920783997,0.04622461274266243,0.0,0.9011124896719749,1,1
goes offline,"If I stop the app completely and login again it works until I stop using the app, then it just goes offline again.",offline mode,I am fully connected to wifi and offline mode is off.,0,0,0,0.9852521419525146,0.346730500459671,0.009407510980963707,0.6373303532600403,0.6714442854503492,0.8397957980632782,0.22666666666666666,0.8397957980632782,0.6373303532600403,0.0,0.7556200417568137,0,1
running tab,I am not sure how to get out of the original screen to have the notes listed in another place from the running tab on the main screen.R Elliott,discovery tabs,"The home,discovery and activity tabs are not to be seen after update on app.what's wrong??",0,0,0,0.46907907724380493,0.8466088771820068,0.41409724950790405,0.09261739253997803,0.7162584987467906,0.6736962050199509,0.05128205128205128,0.6736962050199509,0.41409724950790405,0.0,0.6949773518833707,0,1
